date,Price,Demand,Scheduled_Gen,Semi_Scheduled_Gen,Net_Import
2025-10-27 12:35:00,-8.09599,6380.48,1824.00686,4878.97314,365.9
2025-10-27 12:40:00,0.0,6396.07,1823.99557,4739.71443,193.13
2025-10-27 12:45:00,2e-05,6452.52,1824.00317,4775.69683,168.87
2025-10-27 12:50:00,34.01,6498.46,1931.39984,4832.44016,298.45
2025-10-27 12:55:00,31.42151,6484.28,1966.46288,4702.86712,210.48
2025-10-27 13:00:00,22.0601,6476.08,1926.51742,4840.28258,325.15
2025-10-27 13:05:00,-8.85587,6486.56,1860.42403,4839.82597,249.59
2025-10-27 13:10:00,-10.0,6436.19,1824.00365,4743.18635,164.57
2025-10-27 13:15:00,-10.1135,6423.48,1823.99801,4572.81199,-11.79
2025-10-27 13:20:00,-6.5907,6423.69,1824.00375,4649.58625,70.83
2025-10-27 13:25:00,-8.84091,6344.77,1823.99777,4750.62223,268.69
2025-10-27 13:30:00,-8.93158,6336.14,1823.99534,4701.32466,220.16
2025-10-27 13:35:00,-8.71039,6328.61,1854.5551,4798.1349,368.19
2025-10-27 13:40:00,-8.55248,6182.11,1863.99709,4745.38291,484.67
2025-10-27 13:45:00,-8.70035,6194.57,1863.99521,4635.56479,350.54
2025-10-27 13:50:00,-9.4504,6035.31,1864.00711,4603.19289,478.92
2025-10-27 13:55:00,22.0601,6023.19,1907.91997,4536.17003,470.97
2025-10-27 14:00:00,30.3001,5991.32,1973.74838,4420.29162,447.95
2025-10-27 14:05:00,-8.32253,6019.35,2055.38237,4529.37763,639.84
2025-10-27 14:10:00,0.0,6001.43,2157.46185,4305.82815,528.37
2025-10-27 14:15:00,-10.0,5920.84,2267.59229,4318.77771,753.21
2025-10-27 14:20:00,-10.0,6032.84,2287.99356,4467.01644,796.7
2025-10-27 14:25:00,29.00342,6035.63,2348.36156,4346.02844,744.66
2025-10-27 14:30:00,26.23247,6056.3,2347.99879,4284.66121,654.83
2025-10-27 14:35:00,28.6601,6210.67,2442.80719,4532.31281,854.5
2025-10-27 14:40:00,-10.0,6192.64,2399.32788,4443.57212,729.93
2025-10-27 14:45:00,72.8137,6367.52,2598.26926,4343.82074,653.93
2025-10-27 14:50:00,75.24173,6379.16,2686.90247,4098.52753,463.32
2025-10-27 14:55:00,70.03003,6369.77,2778.39143,4247.20857,731.91
2025-10-27 15:00:00,42.66007,6425.19,2809.51733,4132.30267,610.88
2025-10-27 15:05:00,63.96827,6444.26,2993.21423,4207.30577,845.13
2025-10-27 15:10:00,77.20981,6595.75,3217.3403,3724.5297,380.81
2025-10-27 15:15:00,62.21649,6583.87,3281.92871,4038.38129,817.63
2025-10-27 15:20:00,74.22634,6710.04,3486.78724,3724.98276,561.41
2025-10-27 15:25:00,46.03888,6862.0,3590.12631,3861.39369,667.54
2025-10-27 15:30:00,102.80363,7025.49,3679.69857,3896.17143,612.11
2025-10-27 15:35:00,169.00828,7159.64,3828.77997,3707.89003,432.34
2025-10-27 15:40:00,102.79027,7263.58,3970.98544,3729.18456,508.64
2025-10-27 15:45:00,122.34081,7388.41,4223.77124,3714.82876,619.48
2025-10-27 15:50:00,82.2455,7402.16,4181.07331,3748.55669,598.94
2025-10-27 15:55:00,103.04599,7598.7,4291.14142,3808.75858,572.6
2025-10-27 16:00:00,74.57706,7677.11,4333.70918,3916.81082,646.15
2025-10-27 16:05:00,38.42367,7829.87,4415.15075,3918.31925,566.8
2025-10-27 16:10:00,33.56053,7886.98,4478.15788,3864.15212,518.75
2025-10-27 16:15:00,70.06922,7975.59,4627.14002,3681.76998,392.99
2025-10-27 16:20:00,71.307,7954.21,4682.31154,3684.76846,476.37
2025-10-27 16:25:00,35.6315,7901.04,4614.21971,3729.20029,508.88
2025-10-27 16:30:00,71.29815,7910.29,4750.6804,3577.0096,488.16
2025-10-27 16:35:00,100.14094,8096.38,4892.92284,3528.08716,390.45
2025-10-27 16:40:00,100.21913,8290.33,4996.89065,3536.94935,309.86
2025-10-27 16:45:00,113.07899,8290.71,5115.38674,3309.93326,184.76
2025-10-27 16:50:00,132.79834,8332.62,5185.61003,3323.59997,232.89
2025-10-27 16:55:00,103.58159,8345.66,5144.41585,3293.51415,152.56
2025-10-27 17:00:00,110.35205,8396.61,5233.08055,3318.44945,218.79
2025-10-27 17:05:00,121.39427,8483.6,5443.08285,3122.60715,143.54
2025-10-27 17:10:00,111.8912,8477.52,5555.60336,2912.20664,55.9
2025-10-27 17:15:00,191.51296,8451.89,5844.22522,2594.78478,63.29
2025-10-27 17:20:00,215.81793,8596.1,6036.98349,2491.19651,2.34
2025-10-27 17:25:00,188.94935,8519.79,6163.0127,2366.8873,86.05
2025-10-27 17:30:00,226.45263,8603.6,6074.08346,2308.78654,-157.76
2025-10-27 17:35:00,118.82581,8566.59,6206.54129,2233.33871,-47.85
2025-10-27 17:40:00,144.5719,8632.93,6289.11381,2083.67619,-183.17
2025-10-27 17:45:00,146.2697,8572.31,6374.96508,2024.14492,-102.9
2025-10-27 17:50:00,158.11451,8623.9,6536.21405,1896.24595,-118.28
2025-10-27 17:55:00,118.25082,8616.45,6607.58026,1797.31974,-137.33
2025-10-27 18:00:00,144.33246,8662.87,6748.23003,1668.31997,-167.11
2025-10-27 18:05:00,120.01,8482.16,6739.70165,1646.38835,-43.94
2025-10-27 18:10:00,224.10402,8580.34,6527.07675,1624.59325,-417.17
2025-10-27 18:15:00,184.59561,8465.77,6459.04313,1635.21687,-361.08
2025-10-27 18:20:00,223.74039,8483.51,6636.59177,1585.66823,-258.44
2025-10-27 18:25:00,181.24673,8412.39,7307.36601,1570.41399,469.39
2025-10-27 18:30:00,217.27637,8393.04,7384.34267,1560.96733,559.44
2025-10-27 18:35:00,182.4328,8327.79,7354.4084,1532.5416,562.93
2025-10-27 18:40:00,171.76243,8379.15,7364.46126,1526.96874,515.67
2025-10-27 18:45:00,124.83401,8347.23,7429.43914,1547.68086,632.95
2025-10-27 18:50:00,133.82472,8410.86,7405.33548,1580.79452,576.45
2025-10-27 18:55:00,139.28141,8389.22,7409.26615,1589.96385,610.41
2025-10-27 19:00:00,112.92668,8247.18,7343.33886,1590.44114,692.63
2025-10-27 19:05:00,133.29907,8370.83,7100.49064,1593.27936,319.92
2025-10-27 19:10:00,125.57,8336.25,6766.83189,1585.92811,11.78
