Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
27/10/2025 12:35,-9.31,7658.81,3401.60063,3660.36937,-579.47,"ACTUAL"
27/10/2025 12:40,0,7609.45,3414.32469,3753.70531,-432.47,"ACTUAL"
27/10/2025 12:45,0.00002,7585.44,3415.66385,3771.82615,-390.5,"ACTUAL"
27/10/2025 12:50,38.19046,7771.54,3464.41231,3771.02769,-523.58,"ACTUAL"
27/10/2025 12:55,34.75,7694.6,3446.38386,3806.63614,-432.51,"ACTUAL"
27/10/2025 13:00,24.82326,7689.88,3416.90919,3717.82081,-542.08,"ACTUAL"
27/10/2025 13:05,-10.01001,7160.2,3371.82896,3304.70104,-469.98,"ACTUAL"
27/10/2025 13:10,-11.16851,7192.91,3865.01834,2938.94166,-376.04,"ACTUAL"
27/10/2025 13:15,-10.85,7292.67,3866.35931,3218.53069,-203.48,"ACTUAL"
27/10/2025 13:20,-7.16,7326.15,3928.73746,3165.44254,-224.05,"ACTUAL"
27/10/2025 13:25,-10.00991,7305.06,3907.97654,2941.32346,-440.08,"ACTUAL"
27/10/2025 13:30,-10.00991,7368.36,3908.72485,3035.39515,-412.58,"ACTUAL"
27/10/2025 13:35,-10.00991,7500.56,3952.137,2980.303,-550.48,"ACTUAL"
27/10/2025 13:40,-10.00991,7573.35,4001.21978,2889.60022,-658.86,"ACTUAL"
27/10/2025 13:45,-10.00979,7637.91,4060.56244,3030.48756,-528.44,"ACTUAL"
27/10/2025 13:50,-10.95,7655.7,4063.86689,2949.45311,-622.94,"ACTUAL"
27/10/2025 13:55,25.58365,7702.82,3629.20984,3390.76016,-662.85,"ACTUAL"
27/10/2025 14:00,34.9049,7665.32,3693.07204,3327.30796,-626.92,"ACTUAL"
27/10/2025 14:05,-10,7822.88,3669.2721,3345.4479,-776.36,"ACTUAL"
27/10/2025 14:10,0,7722.07,3723.73702,3307.26298,-662.53,"ACTUAL"
27/10/2025 14:15,44.94,7880.25,3843.40259,3086.04741,-913.5,"ACTUAL"
27/10/2025 14:20,-8.23,7852.31,3747.08439,3199.42561,-873.01,"ACTUAL"
27/10/2025 14:25,35.3735,8001.32,3832.30544,3218.88456,-913.73,"ACTUAL"
27/10/2025 14:30,31.63904,8000.63,3784.01988,3329.58012,-854.52,"ACTUAL"
27/10/2025 14:35,70.5,8380.69,4152.23577,3242.35423,-946.68,"ACTUAL"
27/10/2025 14:40,88.31,8467.6,4459.52329,3108.07671,-865.96,"ACTUAL"
27/10/2025 14:45,88.31,8626.37,4748.27133,3008.33867,-836.78,"ACTUAL"
27/10/2025 14:50,88.31,8317.28,4894.42099,2737.02901,-663.01,"ACTUAL"
27/10/2025 14:55,84.95,8735.09,5090.62889,2779.55111,-832,"ACTUAL"
27/10/2025 15:00,78.83028,8915.32,5224.9963,2766.9237,-885.61,"ACTUAL"
27/10/2025 15:05,78.83014,9012.64,5259.59919,2814.63081,-898.96,"ACTUAL"
27/10/2025 15:10,88.31,8786.63,5581.03234,2710.72766,-480.43,"ACTUAL"
27/10/2025 15:15,75.95001,9067.62,5374.46903,2802.94097,-853.92,"ACTUAL"
27/10/2025 15:20,88.31,9064.29,5592.08962,2771.32038,-675.44,"ACTUAL"
27/10/2025 15:25,88.31,9137.97,5689.18894,2621.55106,-793.81,"ACTUAL"
27/10/2025 15:30,122.5,9009.61,5795.18059,2501.36941,-686.18,"ACTUAL"
27/10/2025 15:35,199.83006,9078.88,6013.78268,2445.41732,-597.2,"ACTUAL"
27/10/2025 15:40,123.95002,9242.33,6187.6681,2324.7619,-700.56,"ACTUAL"
27/10/2025 15:45,147.73,9286.87,6307.46696,2243.88304,-705.57,"ACTUAL"
27/10/2025 15:50,127.59,9398.82,6432.55247,2225.31753,-710.47,"ACTUAL"
27/10/2025 15:55,224.73,9404.4,6632.90504,2048.92496,-692.41,"ACTUAL"
27/10/2025 16:00,224.73,9561.27,6660.75668,2160.58332,-708.14,"ACTUAL"
27/10/2025 16:05,147.35,9583.36,6908.12101,2010.04899,-637.85,"ACTUAL"
27/10/2025 16:10,133,9612.9,7004.89257,1953.19743,-628,"ACTUAL"
27/10/2025 16:15,133,9712.8,7190.26133,1923.89867,-574.84,"ACTUAL"
27/10/2025 16:20,147.35,9765.39,7408.328,1713.282,-617.5,"ACTUAL"
27/10/2025 16:25,188.22,9864.67,7677.55887,1527.30113,-631.9,"ACTUAL"
27/10/2025 16:30,147.73,9971.59,7688.50109,1605.40891,-648.47,"ACTUAL"
27/10/2025 16:35,127.59,10099.88,7901.61485,1578.81515,-593.33,"ACTUAL"
27/10/2025 16:40,127.59,10182.63,8058.70919,1530.08081,-568.65,"ACTUAL"
27/10/2025 16:45,133,10039.62,8082.34968,1489.23032,-449.99,"ACTUAL"
27/10/2025 16:50,157.22703,10125.94,8078.37522,1529.50478,-497.16,"ACTUAL"
27/10/2025 16:55,224.73,10305.43,8281.56823,1505.66177,-497.24,"ACTUAL"
27/10/2025 17:00,239.73,10425.07,8400.00713,1472.93287,-528.78,"ACTUAL"
27/10/2025 17:05,191.91,10445.16,8529.87083,1399.72917,-494.04,"ACTUAL"
27/10/2025 17:10,256.09,10568.15,8741.63873,1308.73127,-496.31,"ACTUAL"
27/10/2025 17:15,256.09,10602.32,8744.853,1278.167,-554.13,"ACTUAL"
27/10/2025 17:20,256.09,10471.26,8702.15681,1242.78319,-504.17,"ACTUAL"
27/10/2025 17:25,239.73,10361.06,8566.11484,1209.04516,-560.39,"ACTUAL"
27/10/2025 17:30,265.62,10366,8751.54524,1176.42476,-420.72,"ACTUAL"
27/10/2025 17:35,239.73,10304.9,8585.74901,1152.67099,-542.35,"ACTUAL"
27/10/2025 17:40,200,10329.75,8651.55098,1163.62902,-493.31,"ACTUAL"
27/10/2025 17:45,241.22,10322.99,8692.77613,1123.60387,-485.74,"ACTUAL"
27/10/2025 17:50,243.07,10386.78,8784.61235,1086.61765,-494.06,"ACTUAL"
27/10/2025 17:55,241.22,10371.84,8794.26577,1062.16423,-493.91,"ACTUAL"
27/10/2025 18:00,277,10433.41,8832.04446,1067.36554,-511.36,"ACTUAL"
27/10/2025 18:05,140.46616,10257.15,8671.83565,1152.46435,-416.16,"ACTUAL"
27/10/2025 18:10,243.07,10245.63,9087.47167,1164.49833,6.07,"ACTUAL"
27/10/2025 18:15,200,9963.2,8799.89146,1151.89854,-11.26,"ACTUAL"
27/10/2025 18:20,241.22,10046.66,8963.73912,1116.07088,32.15,"ACTUAL"
27/10/2025 18:25,200,10038.77,8822.93946,1117.79054,-95.33,"ACTUAL"
27/10/2025 18:30,241.22,10066.25,8779.18824,1155.16176,-127.98,"ACTUAL"
27/10/2025 18:35,200,10026.21,8803.94641,1162.09359,-58.45,"ACTUAL"
27/10/2025 18:40,188.22,9987.05,8739.19385,1186.31615,-59.77,"ACTUAL"
27/10/2025 18:45,135,9877.07,8688.44773,1187.88227,-0.63,"ACTUAL"
27/10/2025 18:50,144.67,9870.18,8718.93537,1169.07463,17.42,"ACTUAL"
27/10/2025 18:55,147.73,9799.99,8784.54725,1109.50275,91.99,"ACTUAL"
