Settlement Date,Dispatch Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
26/10/2025 12:35,9.60428,6435.14,3401.40065,3216.62935,182.72,"ACTUAL"
26/10/2025 12:40,105.37813,6463.66,3637.29397,3140.15603,314.73,"ACTUAL"
26/10/2025 12:45,60.79561,6585.02,3526.20584,3385.31416,328.44,"ACTUAL"
26/10/2025 12:50,41.38323,6589.22,3608.08176,3346.09824,367.61,"ACTUAL"
26/10/2025 12:55,27.68649,6699.26,3428.80163,3299.25837,29.3,"ACTUAL"
26/10/2025 13:00,106.28017,6743.34,3670.31355,3349.80645,278.18,"ACTUAL"
26/10/2025 13:05,47.63386,6822.13,3670.03452,3385.33548,234.2,"ACTUAL"
26/10/2025 13:10,5.98557,6799.73,3587.37633,3070.28367,-140.58,"ACTUAL"
26/10/2025 13:15,-7.50577,6716.88,3628.07524,3001.11476,-86.22,"ACTUAL"
26/10/2025 13:20,-10.01,6744.91,3641.96324,2796.00676,-302.22,"ACTUAL"
26/10/2025 13:25,-7.61781,7070.99,3579.30194,3123.93806,-361.46,"ACTUAL"
26/10/2025 13:30,-6.1308,6851.59,3537.82097,3149.15903,-162.43,"ACTUAL"
26/10/2025 13:35,-10.14996,6666.89,3537.87007,3106.94993,-21.34,"ACTUAL"
26/10/2025 13:40,18.18649,6749.34,3553.27209,3379.87791,184.61,"ACTUAL"
26/10/2025 13:45,3.78735,6693.09,3571.65938,3188.59062,67.7,"ACTUAL"
26/10/2025 13:50,-10.23781,6640.71,3571.66144,2945.33856,-121.19,"ACTUAL"
26/10/2025 13:55,25.19854,6594.74,3578.30967,3028.48033,11.95,"ACTUAL"
26/10/2025 14:00,-11.74638,6552.66,3571.4999,2918.6901,-57.78,"ACTUAL"
26/10/2025 14:05,-10.38104,6514.85,3513.31238,2975.38762,-21.71,"ACTUAL"
26/10/2025 14:10,36.32615,6463.18,3657.6832,2971.6768,165.97,"ACTUAL"
26/10/2025 14:15,23.99878,6594.03,3522.46304,2811.06696,-257.06,"ACTUAL"
