Settlement Date,Spot Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
27/10/2025 12:40,-10.1,1304.52,80.00295,644.19705,-573.45,"ACTUAL"
27/10/2025 12:45,-11.01,1322.32,100.99789,654.33211,-560.38,"ACTUAL"
27/10/2025 12:50,-10.1,1299.52,79.99903,643.24097,-569.39,"ACTUAL"
27/10/2025 12:55,-10.1,1309.95,80.00441,658.17559,-564.91,"ACTUAL"
27/10/2025 13:00,-11.6599,1275.85,79.99518,601.17482,-587.46,"ACTUAL"
27/10/2025 13:05,-11.11,1276.54,79.9998,621.1802,-568.46,"ACTUAL"
27/10/2025 13:10,-11.11,1276.4,80.00196,619.32804,-570.12,"ACTUAL"
27/10/2025 13:15,-8.49994,1300.11,79.99906,624.14094,-588.59,"ACTUAL"
27/10/2025 13:20,-11.8,1093.77,80.00242,416.88758,-589.78,"ACTUAL"
27/10/2025 13:25,-11.79,1115.34,79.99719,461.46281,-567.15,"ACTUAL"
27/10/2025 13:30,-11.66,1174.64,80.00288,523.81712,-564.1,"ACTUAL"
27/10/2025 13:35,-11.8,1110.81,79.99601,459.50399,-564.65,"ACTUAL"
27/10/2025 13:40,-11.66,1153.77,79.99825,512.66175,-554.68,"ACTUAL"
27/10/2025 13:45,-11.66,1175.14,79.99597,537.53403,-551.2,"ACTUAL"
27/10/2025 13:50,-11.79,1119.35,82.99828,480.16172,-549.79,"ACTUAL"
27/10/2025 13:55,-11.79,1115.58,96.99957,477.46043,-535.05,"ACTUAL"
27/10/2025 14:00,-11.66,1131.37,94.99987,507.71013,-522.72,"ACTUAL"
27/10/2025 14:05,-11.6599,1202.38,85.99869,587.42131,-522.93,"ACTUAL"
27/10/2025 14:10,-11.6599,1175.83,79.9977,557.7423,-531.82,"ACTUAL"
27/10/2025 14:15,-11.66,1168.43,79.99756,558.29244,-524.06,"ACTUAL"
27/10/2025 14:20,-11.78,1205.15,79.99816,591.69184,-527.17,"ACTUAL"
27/10/2025 14:25,-11.79,1217.45,79.99963,595.95037,-535.06,"ACTUAL"
27/10/2025 14:30,-11.78,1228.88,79.99904,613.16096,-529.44,"ACTUAL"
27/10/2025 14:35,-11.79,1240.91,79.99721,622.80279,-531.77,"ACTUAL"
27/10/2025 14:40,-11.8,1224.38,79.9968,604.1232,-534.02,"ACTUAL"
27/10/2025 14:45,-13.99999,1166.35,80.00225,550.90775,-529.38,"ACTUAL"
27/10/2025 14:50,-13.99998,1187.2,80.00116,554.92884,-545.96,"ACTUAL"
27/10/2025 14:55,-19.98,1119.23,79.99977,478.12023,-554.8,"ACTUAL"
27/10/2025 15:00,-11.79,1206.86,80.00375,579.03625,-541.62,"ACTUAL"
27/10/2025 15:05,-11.79,1245.1,79.99898,600.34102,-558.41,"ACTUAL"
27/10/2025 15:10,-11.66,1295.6,79.99882,666.55118,-542.93,"ACTUAL"
27/10/2025 15:15,-11.79,1260.56,79.99553,619.61447,-554.59,"ACTUAL"
27/10/2025 15:20,-11.8,1239.83,79.99775,602.84225,-550.74,"ACTUAL"
27/10/2025 15:25,-11.6599,1366.79,80.00143,722.34857,-558.15,"ACTUAL"
27/10/2025 15:30,-11.79,1299.74,80.00034,661.60966,-551.93,"ACTUAL"
27/10/2025 15:35,-13.99998,1233.34,79.998,595.582,-551.59,"ACTUAL"
27/10/2025 15:40,-19.98,1219.57,80.00186,586.74814,-546.9,"ACTUAL"
27/10/2025 15:45,-20.01,1162.55,79.99854,512.87146,-563.58,"ACTUAL"
27/10/2025 15:50,-21.37717,1136.73,80.00126,532.49874,-518.82,"ACTUAL"
27/10/2025 15:55,-20.01,1132.55,80.00189,499.78811,-547.02,"ACTUAL"
27/10/2025 16:00,-19.9,1157.22,79.99873,601.59127,-470.84,"ACTUAL"
27/10/2025 16:05,-15.76247,1140.68,80.00133,601.44867,-454.81,"ACTUAL"
27/10/2025 16:10,-13.99996,1134.11,79.99812,648.45188,-401.67,"ACTUAL"
27/10/2025 16:15,-13.99995,1144.53,79.99815,665.73185,-394.85,"ACTUAL"
27/10/2025 16:20,-11.78,1185.35,80.00463,763.24537,-338.44,"ACTUAL"
27/10/2025 16:25,-11.66,1139.33,80.00392,766.87608,-288.9,"ACTUAL"
27/10/2025 16:30,-11.48712,1199.84,79.9973,815.6327,-300.57,"ACTUAL"
27/10/2025 16:35,-11.12109,1168.17,80.00004,897.00996,-187.35,"ACTUAL"
27/10/2025 16:40,-11.16113,1210.98,80.00226,923.46774,-203.76,"ACTUAL"
27/10/2025 16:45,-11.11,1119.73,80.00175,989.58825,-45.14,"ACTUAL"
27/10/2025 16:50,-10.62004,1138.04,80.00137,1032.37863,-20.49,"ACTUAL"
27/10/2025 16:55,-9.03211,1272.63,80.00066,1148.67934,-39.3,"ACTUAL"
27/10/2025 17:00,-5.95912,1249.47,79.99684,1210.13316,46.62,"ACTUAL"
27/10/2025 17:05,-10.00729,1223.04,79.99667,1206.89333,70.03,"ACTUAL"
27/10/2025 17:10,-5.79956,1214.04,79.9963,1271.9737,145.47,"ACTUAL"
27/10/2025 17:15,-5.91622,1320.61,79.9986,1301.8214,67.36,"ACTUAL"
27/10/2025 17:20,0.00009,1231.32,79.99702,1267.22298,118.72,"ACTUAL"
27/10/2025 17:25,0.00012,1206,80.00104,1270.14896,147.36,"ACTUAL"
27/10/2025 17:30,5.89528,1224.36,107.00227,1283.16773,167.4,"ACTUAL"
27/10/2025 17:35,41.58722,1213.91,100.00444,1315.41556,203.51,"ACTUAL"
27/10/2025 17:40,108.31268,1248.53,149.99633,1327.56367,231.43,"ACTUAL"
27/10/2025 17:45,107.8249,1263.15,203.9957,1316.7843,260.46,"ACTUAL"
27/10/2025 17:50,117.38627,1289.24,263.00415,1304.75585,281.65,"ACTUAL"
27/10/2025 17:55,79.05,1268.59,379.26583,1324.77417,441.96,"ACTUAL"
27/10/2025 18:00,98,1332.16,407.58486,1340.66514,422.01,"ACTUAL"
27/10/2025 18:05,91.87402,1352.99,385.99989,1376.02011,414.7,"ACTUAL"
27/10/2025 18:10,47.88173,1374.62,303.99723,1430.80277,364.75,"ACTUAL"
27/10/2025 18:15,40.44577,1396.24,353.00495,1446.18505,408.36,"ACTUAL"
27/10/2025 18:20,30.94611,1448.58,313.00175,1495.04825,363.95,"ACTUAL"
27/10/2025 18:25,0.00906,1507.99,313.0017,1498.8983,307.26,"ACTUAL"
27/10/2025 18:30,0.52,1607.3,335.02744,1533.67256,264.1,"ACTUAL"
27/10/2025 18:35,0.00946,1746.75,340.00012,1540.01988,134.26,"ACTUAL"
27/10/2025 18:40,0.52,1731.67,363.09523,1508.83477,141.31,"ACTUAL"
27/10/2025 18:45,0,1613.92,323.81962,1504.13038,215.92,"ACTUAL"
27/10/2025 18:50,0.00015,1648.86,339.758,1481.762,174.04,"ACTUAL"
27/10/2025 18:55,0.00015,1748.64,339.76439,1472.21561,63.69,"ACTUAL"
27/10/2025 19:00,0.00015,1783.29,333.61311,1470.69689,21.13,"ACTUAL"
27/10/2025 19:05,9.1,1677.25,345.00129,1478.08871,146.96,"ACTUAL"
27/10/2025 19:10,32.14746,1586.99,404.00146,1483.84854,304.13,"ACTUAL"
27/10/2025 19:15,60.39443,1592.63,400.0034,1500.2466,310.99,"ACTUAL"
27/10/2025 19:20,45.52324,1586.73,350.0043,1495.5557,261.43,"ACTUAL"
27/10/2025 19:25,49.44077,1588.14,349.99511,1500.32489,264.89,"ACTUAL"
27/10/2025 19:30,36.0673,1610.77,440.99596,1465.42404,298.81,"ACTUAL"
27/10/2025 19:35,31.31,1614.85,382.44018,1516.47982,287.02,"ACTUAL"
27/10/2025 19:40,37.16438,1608.71,349.99762,1482.75238,226.1,"ACTUAL"
27/10/2025 19:45,46.2783,1622.74,399.99681,1473.40319,253.1,"ACTUAL"
27/10/2025 19:50,39.09757,1602.06,399.99794,1466.50206,267.11,"ACTUAL"
27/10/2025 19:55,37.23209,1635.89,349.99652,1449.26348,164.68,"ACTUAL"
27/10/2025 20:00,0.38014,1581.14,336.02708,1478.43292,236.04,"ACTUAL"
27/10/2025 20:05,3.60898,1603.48,357.00284,1481.11716,239.43,"ACTUAL"
27/10/2025 20:10,1.73434,1603.48,343.99847,1508.50153,253.89,"ACTUAL"
27/10/2025 20:15,31.3,1621.13,347.00029,1531.22971,259.73,"ACTUAL"
27/10/2025 20:20,31.3,1606.03,346.99993,1513.89007,257.31,"ACTUAL"
27/10/2025 20:25,0.00932,1619.36,332.0028,1506.4972,221.04,"ACTUAL"
27/10/2025 20:30,8.36243,1667,346.99684,1492.99316,174.32,"ACTUAL"
27/10/2025 20:35,8.08178,1541.67,360.44413,1493.26587,315.41,"ACTUAL"
27/10/2025 20:40,8.17626,1594.93,353.00339,1507.87661,268.51,"ACTUAL"
27/10/2025 20:45,-0.00013,1542.71,240.55675,1531.87325,232.06,"ACTUAL"
27/10/2025 20:50,0,1609.73,326.86492,1563.86508,283.87,"ACTUAL"
27/10/2025 20:55,0,1564.79,281.13444,1571.72556,291.27,"ACTUAL"
27/10/2025 21:00,-3.59403,1529.76,283.00149,1575.93851,334.76,"ACTUAL"
27/10/2025 21:05,0.21732,1523.34,260.99667,1608.07333,349.58,"ACTUAL"
27/10/2025 21:10,37.33426,1502.56,340.00328,1625.83672,469.65,"ACTUAL"
27/10/2025 21:15,38.60254,1486.87,253.9999,1613.6501,385.43,"ACTUAL"
27/10/2025 21:20,0.00004,1488.49,222.00194,1638.79806,376.65,"ACTUAL"
27/10/2025 21:25,-6.79295,1505.49,221.99791,1627.90209,350.01,"ACTUAL"
27/10/2025 21:30,-3.63215,1548.56,222.00408,1625.48592,304.1,"ACTUAL"
27/10/2025 21:35,-6.71059,1510.45,221.99638,1601.86362,318.82,"ACTUAL"
27/10/2025 21:40,0,1480.22,240.00277,1592.07723,357.75,"ACTUAL"
27/10/2025 21:45,2.18615,1489.22,240.00279,1616.54721,373.48,"ACTUAL"
27/10/2025 21:50,15.70119,1476.01,221.99641,1624.34359,375.86,"ACTUAL"
27/10/2025 21:55,18.2,1445.33,233.06079,1605.22921,398.16,"ACTUAL"
27/10/2025 22:00,40.05177,1421.41,222.00233,1576.10767,381.15,"ACTUAL"
27/10/2025 22:05,34.59393,1397.99,294.00339,1578.36661,480.91,"ACTUAL"
27/10/2025 22:10,62.75418,1424.72,344.99698,1545.93302,472.55,"ACTUAL"
27/10/2025 22:15,59.55,1368.35,289.8437,1522.1363,450.01,"ACTUAL"
27/10/2025 22:20,52.07374,1389.87,169.00472,1514.06528,297.19,"ACTUAL"
27/10/2025 22:25,70.97649,1378.37,193.99673,1505.32327,324.31,"ACTUAL"
27/10/2025 22:30,52.60706,1360.71,144.00351,1532.15649,320,"ACTUAL"
27/10/2025 22:35,61.15681,1403.51,194.00031,1519.13969,312.75,"ACTUAL"
27/10/2025 22:40,49.04569,1376.64,144.00334,1523.89666,295.81,"ACTUAL"
27/10/2025 22:45,59.55,1394.12,168.15146,1514.06854,290.9,"ACTUAL"
27/10/2025 22:50,59.18628,1373.7,161.0018,1495.3982,285.47,"ACTUAL"
27/10/2025 22:55,27.32939,1368.44,160.99785,1507.77215,304.44,"ACTUAL"
27/10/2025 23:00,48.47187,1323.89,211.00121,1477.56879,370.95,"ACTUAL"
27/10/2025 23:05,74.61932,1339.4,211.00428,1506.74572,382.87,"ACTUAL"
27/10/2025 23:10,84.2288,1342.1,261.00009,1507.14991,431.68,"ACTUAL"
27/10/2025 23:15,52.73831,1331.29,193.99975,1518.02025,386.16,"ACTUAL"
27/10/2025 23:20,77.37653,1291.47,223.00213,1519.15787,457.06,"ACTUAL"
27/10/2025 23:25,59.55,1307.76,181.13238,1528.16762,407.82,"ACTUAL"
27/10/2025 23:30,32.76318,1305.22,143.9968,1519.9632,364.85,"ACTUAL"
27/10/2025 23:35,74.24021,1350.15,144.00093,1535.85907,333.39,"ACTUAL"
27/10/2025 23:40,69.85257,1391.81,139.99923,1539.98077,290.98,"ACTUAL"
27/10/2025 23:45,35.03671,1351.1,87.99586,1546.69414,287.39,"ACTUAL"
27/10/2025 23:50,33.87814,1367.41,80.00195,1551.59805,268.96,"ACTUAL"
27/10/2025 23:55,45.80415,1362.39,80.00141,1543.92859,266.27,"ACTUAL"
28/10/2025 00:00,37.31513,1368.79,80.00177,1568.32823,284.44,"ACTUAL"
28/10/2025 00:05,52.78374,1365.1,79.99544,1562.14456,279.79,"ACTUAL"
28/10/2025 00:10,47.02844,1389.3,79.99809,1566.27191,259.18,"ACTUAL"
28/10/2025 00:15,36.89693,1379.39,79.99542,1570.91458,275.16,"ACTUAL"
28/10/2025 00:20,68.44143,1395.8,79.99729,1541.66271,227.67,"ACTUAL"
28/10/2025 00:25,52.86478,1405.5,79.99797,1563.78203,240.26,"ACTUAL"
28/10/2025 00:30,33.62064,1377.58,80.00407,1560.78593,267.03,"ACTUAL"
28/10/2025 00:35,38.50977,1402.03,80.00044,1560.55956,242.88,"ACTUAL"
28/10/2025 00:40,50.92514,1448.23,80.00292,1557.93708,192.15,"ACTUAL"
28/10/2025 00:45,70.92333,1428.56,79.99893,1540.15107,192.91,"ACTUAL"
28/10/2025 00:50,68.86882,1416.4,80.00107,1549.51893,214.67,"ACTUAL"
28/10/2025 00:55,95.11431,1407.69,80.00452,1539.66548,213.51,"ACTUAL"
28/10/2025 01:00,87.12026,1403.47,80.00027,1582.47973,261.16,"ACTUAL"
28/10/2025 01:05,93.31227,1416.11,79.99764,1607.41236,273.58,"ACTUAL"
28/10/2025 01:10,93.17618,1398.36,80.0028,1578.4172,262.21,"ACTUAL"
28/10/2025 01:15,89.20666,1405.39,90.00228,1562.29772,248.88,"ACTUAL"
28/10/2025 01:20,87.2444,1381.9,130.00153,1538.14847,288.86,"ACTUAL"
28/10/2025 01:25,84.44888,1393.73,130.00095,1522.10905,260.51,"ACTUAL"
28/10/2025 01:30,75.5827,1379.05,80.00021,1512.76979,215.27,"ACTUAL"
28/10/2025 01:35,85.00414,1378.46,79.9975,1512.7325,215.84,"ACTUAL"
28/10/2025 01:40,85.57165,1371.58,80.00141,1502.79859,212.73,"ACTUAL"
28/10/2025 01:45,84.5871,1353.37,80.00475,1508.18525,236.63,"ACTUAL"
28/10/2025 01:50,74.52271,1349.07,79.99598,1529.14402,262.24,"ACTUAL"
28/10/2025 01:55,61.87749,1377.26,79.99573,1541.44427,246.1,"ACTUAL"
28/10/2025 02:00,83.28397,1332.04,79.99559,1535.77441,286.27,"ACTUAL"
28/10/2025 02:05,86.2948,1352.98,79.99641,1538.36359,267.59,"ACTUAL"
28/10/2025 02:10,65.26455,1341.37,79.99766,1528.62234,269.53,"ACTUAL"
28/10/2025 02:15,50.41222,1328.71,79.99766,1526.76234,280.49,"ACTUAL"
28/10/2025 02:20,67.52189,1333.69,79.99956,1515.53044,264.05,"ACTUAL"
