Settlement Date,Dispatch Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
26/10/2025 12:40,-80,779.85,79.99833,814.90167,123.67,"ACTUAL"
26/10/2025 12:45,-89,714.33,79.99777,763.84223,138.99,"ACTUAL"
26/10/2025 12:50,-92.01,708.63,79.99733,664.48267,42.72,"ACTUAL"
26/10/2025 12:55,-89,636.69,80.00291,747.66709,201.57,"ACTUAL"
26/10/2025 13:00,-92.01,517.82,80.00441,667.59559,241.7,"ACTUAL"
26/10/2025 13:05,-222.67952,598.81,79.99649,531.80351,19.25,"ACTUAL"
26/10/2025 13:10,-100,519.62,88.00224,596.77776,174.82,"ACTUAL"
26/10/2025 13:15,-92.01,344.05,99.00002,662.54998,435.56,"ACTUAL"
26/10/2025 13:20,-89,351.38,101.00385,713.20615,481.72,"ACTUAL"
26/10/2025 13:25,-93.03,371.67,104.00474,658.23526,407.23,"ACTUAL"
26/10/2025 13:30,-92.01,343.69,80.00029,662.30971,416.16,"ACTUAL"
26/10/2025 13:35,-89,432.32,80.00267,744.26733,408.65,"ACTUAL"
26/10/2025 13:40,-228.73804,408.95,80.00329,525.30671,205.98,"ACTUAL"
26/10/2025 13:45,-182.41,523.37,80.0043,398.0257,-41.44,"ACTUAL"
26/10/2025 13:50,-179.67,498.01,80.0047,395.3353,-18.51,"ACTUAL"
26/10/2025 13:55,-306.07359,482.17,100.99871,310.99129,-66.74,"ACTUAL"
26/10/2025 14:00,-21.78721,303.5,103.0023,575.4677,389.55,"ACTUAL"
26/10/2025 14:05,-21.54077,274.3,95,530.84,365.08,"ACTUAL"
26/10/2025 14:10,-88.08208,329.32,80.00293,620.19707,384.68,"ACTUAL"
26/10/2025 14:15,-181.42,464.57,79.9974,513.1426,135.57,"ACTUAL"
26/10/2025 14:20,-80,430.56,80.00249,739.32751,403.5,"ACTUAL"
26/10/2025 14:25,-89,396,80.00482,699.69518,398.17,"ACTUAL"
26/10/2025 14:30,-145,289.32,80.00405,555.95595,360.14,"ACTUAL"
26/10/2025 14:35,-253.56808,254.16,80.0021,417.5979,254.22,"ACTUAL"
26/10/2025 14:40,-89,124.68,79.99623,590.60377,562.41,"ACTUAL"
26/10/2025 14:45,-100,120.06,79.99664,587.89336,570.31,"ACTUAL"
26/10/2025 14:50,-211.4572,205.91,85.0012,446.3988,339.06,"ACTUAL"
26/10/2025 14:55,-210.90318,198.33,84.9987,330.1413,227.26,"ACTUAL"
26/10/2025 15:00,-100,156.14,79.99796,386.57204,324.22,"ACTUAL"
26/10/2025 15:05,-93.78211,165.73,80,480.64,411.93,"ACTUAL"
26/10/2025 15:10,-108.48108,215.25,79.9979,467.9121,346.77,"ACTUAL"
26/10/2025 15:15,-200,363.33,79.99509,367.85491,91.19,"ACTUAL"
26/10/2025 15:20,-89,318.74,79.99961,529.07039,303.11,"ACTUAL"
26/10/2025 15:25,-198.58154,422.17,80.0021,401.3779,65.87,"ACTUAL"
26/10/2025 15:30,-271.29748,309.75,94,354.7,148.09,"ACTUAL"
26/10/2025 15:35,-39.4536,311.42,103.9956,614.9744,425.55,"ACTUAL"
26/10/2025 15:40,-96.91578,332.81,80.0008,541.4992,302.07,"ACTUAL"
26/10/2025 15:45,-226.3502,489.18,80.0045,402.3155,-1.5,"ACTUAL"
26/10/2025 15:50,-100,465.55,79.99533,415.89467,36.16,"ACTUAL"
26/10/2025 15:55,-100,504.43,80.0009,484.1591,66.13,"ACTUAL"
