Settlement Date,Dispatch Price ($/MWh),Scheduled Demand (MW),Scheduled Generation (MW),Semi Scheduled Generation (MW),Net Import (MW),Type
26/10/2025 12:40,0.22,782.98,721.03518,61.94482,0,"ACTUAL"
26/10/2025 12:45,0.22,784.83,725.01828,59.81172,0,"ACTUAL"
26/10/2025 12:50,0.22,790.01,731.72969,58.28031,0,"ACTUAL"
26/10/2025 12:55,0.22,792.83,725.16161,67.66839,0,"ACTUAL"
26/10/2025 13:00,2.08,820.18,752.84629,67.33371,0,"ACTUAL"
26/10/2025 13:05,1.08,811.65,724.22931,87.42069,0,"ACTUAL"
26/10/2025 13:10,1.23227,824.56,741.98822,82.57178,0,"ACTUAL"
26/10/2025 13:15,1.08,800.97,724.02886,76.94114,0,"ACTUAL"
26/10/2025 13:20,1.23227,805.36,731.83312,73.52688,0,"ACTUAL"
26/10/2025 13:25,1.08,798.83,725.05845,73.77155,0,"ACTUAL"
26/10/2025 13:30,0.6358,798.35,717.722,80.628,0,"ACTUAL"
26/10/2025 13:35,1.08,801.61,726.80775,74.80225,0,"ACTUAL"
26/10/2025 13:40,0.12,805.29,607.83952,72.45048,-122.88,"ACTUAL"
26/10/2025 13:45,1.08,798.22,719.98456,78.23544,0,"ACTUAL"
26/10/2025 13:50,0.18328,797.7,693.04161,78.02839,-26.45,"ACTUAL"
26/10/2025 13:55,1.08,794.48,717.77584,76.70416,0,"ACTUAL"
26/10/2025 14:00,0.18328,780.14,716.4219,63.7181,0,"ACTUAL"
26/10/2025 14:05,0.16,778.76,704.58769,74.17231,0,"ACTUAL"
26/10/2025 14:10,-0.69543,798.77,604.04492,69.72508,-122.88,"ACTUAL"
26/10/2025 14:15,0.57826,794.37,708.54525,74.26475,-11.57,"ACTUAL"
26/10/2025 14:20,1.23227,822.71,752.45421,70.25579,0,"ACTUAL"
26/10/2025 14:25,0.14,833.23,670.02075,61.73925,-100,"ACTUAL"
26/10/2025 14:30,0.16,834.08,665.9638,68.1162,-100,"ACTUAL"
26/10/2025 14:35,0.16,840.38,677.52497,62.85503,-100,"ACTUAL"
26/10/2025 14:40,2.08,848.03,785.12807,62.90193,0,"ACTUAL"
26/10/2025 14:45,5.2,884.09,822.46192,61.62808,0,"ACTUAL"
26/10/2025 14:50,0.67676,876.72,716.73478,58.51522,-100,"ACTUAL"
26/10/2025 14:55,0.08,886,515.84838,64.36162,-305.8,"ACTUAL"
26/10/2025 15:00,0.16,884.44,722.17875,57.66125,-104.6,"ACTUAL"
26/10/2025 15:05,5.2,895.87,832.10642,63.76358,0,"ACTUAL"
26/10/2025 15:10,7.2,933.01,869.99028,63.01972,0,"ACTUAL"
26/10/2025 15:15,5.16,923.59,853.79646,69.79354,0,"ACTUAL"
26/10/2025 15:20,6.42026,928.29,858.46681,69.82319,0,"ACTUAL"
26/10/2025 15:25,5.20696,943.55,876.32128,67.22872,0,"ACTUAL"
26/10/2025 15:30,5.20696,956.18,885.78911,70.39089,0,"ACTUAL"
26/10/2025 15:35,5.20696,964.24,887.0247,77.2153,0,"ACTUAL"
26/10/2025 15:40,6.2,985.89,910.12255,75.76745,0,"ACTUAL"
26/10/2025 15:45,6.18583,977.35,894.71773,82.63227,0,"ACTUAL"
26/10/2025 15:50,6.18583,978.48,897.78844,80.69156,0,"ACTUAL"
26/10/2025 15:55,5.62286,983.7,892.4606,91.2394,0,"ACTUAL"
26/10/2025 16:00,6.18583,997.41,900.75207,96.65793,0,"ACTUAL"
26/10/2025 16:05,4.63292,1006.81,808.85868,96.17132,-100.3,"ACTUAL"
26/10/2025 16:10,40.17743,1004.08,874.89942,100.50058,-28.68,"ACTUAL"
26/10/2025 16:15,53.61597,1006.48,874.90003,115.39997,-16.18,"ACTUAL"
26/10/2025 16:20,49.39881,1031.31,882.90024,111.50976,-36.61,"ACTUAL"
26/10/2025 16:25,6.2,1023.64,916.74733,106.89267,0,"ACTUAL"
26/10/2025 16:30,6.18583,1020.02,903.85427,116.16573,0,"ACTUAL"
26/10/2025 16:35,7.2,1028.79,909.91308,118.87692,0,"ACTUAL"
26/10/2025 16:40,6.2,1031.41,911.14736,120.26264,0,"ACTUAL"
26/10/2025 16:45,7.2,1055.2,928.0405,127.1595,0,"ACTUAL"
26/10/2025 16:50,7.2,1051.59,927.21888,124.37112,0,"ACTUAL"
26/10/2025 16:55,7.2,1056.93,930.84754,126.08246,0,"ACTUAL"
26/10/2025 17:00,51.39081,1065.81,935.9027,127.7773,-2.12,"ACTUAL"
26/10/2025 17:05,6.2,1060.58,934.18884,126.39116,0,"ACTUAL"
26/10/2025 17:10,58.52657,1076.85,935.89954,133.37046,-7.54,"ACTUAL"
26/10/2025 17:15,15.74495,1081.03,940.00299,126.02701,-14.91,"ACTUAL"
26/10/2025 17:20,15.69075,1079.66,939.90433,118.52567,-21.1,"ACTUAL"
26/10/2025 17:25,39.90203,1066.71,933.902,129.708,-3.1,"ACTUAL"
26/10/2025 17:30,6.2,1068.52,932.68515,135.83485,0,"ACTUAL"
26/10/2025 17:35,5.06,1064.76,926.13416,138.62584,0,"ACTUAL"
26/10/2025 17:40,11.23988,1059.92,966.9004,135.4896,42.5,"ACTUAL"
26/10/2025 17:45,5.06,1073.81,930.53096,143.27904,0,"ACTUAL"
26/10/2025 17:50,4.24919,1066.94,921.18706,145.75294,0,"ACTUAL"
26/10/2025 17:55,15.63611,1065.54,967.00014,149.04986,50.58,"ACTUAL"
26/10/2025 18:00,23.10089,1076.44,965.20803,152.82197,41.62,"ACTUAL"
26/10/2025 18:05,5.06,1075.79,942.92291,154.82709,21.93,"ACTUAL"
26/10/2025 18:10,24.37289,1087.34,964.91237,159.81763,37.39,"ACTUAL"
26/10/2025 18:15,1.2,1073.6,909.72693,163.87307,0,"ACTUAL"
26/10/2025 18:20,24.17745,1072.12,978.60742,171.46258,78.28,"ACTUAL"
26/10/2025 18:25,32.04961,1077.34,990.00226,169.93774,82.99,"ACTUAL"
26/10/2025 18:30,40.13923,1090.87,993.90081,175.40919,78.77,"ACTUAL"
26/10/2025 18:35,26.86754,1096.78,972.25719,165.52281,41.02,"ACTUAL"
