date,Price,Demand,Scheduled_Gen,Semi_Scheduled_Gen,Net_Import
2025-10-27 12:40:00,-10.79082,4241.01,2070.00485,3188.97515,1077.11
2025-10-27 12:45:00,-10.89322,4288.34,2070.00463,3180.63537,1018.68
2025-10-27 12:50:00,-11.14337,4138.72,2070.00195,3048.10805,1037.98
2025-10-27 12:55:00,-11.4,4189.53,2069.99686,3086.88314,1025.85
2025-10-27 13:00:00,-11.4,4108.32,2070.00371,3044.30629,1067.59
2025-10-27 13:05:00,-11.0,4093.58,2069.99956,3078.76044,1118.06
2025-10-27 13:10:00,-11.4,4071.37,2077.00021,3012.73979,1080.14
2025-10-27 13:15:00,-11.4,4062.44,2069.99796,3024.02204,1094.4
2025-10-27 13:20:00,-11.4,3987.61,2070.00295,2851.45705,990.88
2025-10-27 13:25:00,-18.47,4019.02,2069.99955,2860.57045,968.99
2025-10-27 13:30:00,-18.14,3934.02,2070.00121,2811.62879,1006.82
2025-10-27 13:35:00,-12.51,3939.01,2076.0004,2833.0796,1029.99
2025-10-27 13:40:00,-11.4,4003.85,2070.00178,2904.22822,1030.32
2025-10-27 13:45:00,-11.0,4027.44,2080.99537,2908.46463,1020.99
2025-10-27 13:50:00,-11.0,3986.82,2081.99847,2842.84153,995.86
2025-10-27 13:55:00,-11.4,3931.25,2070.00064,2823.18936,1021.82
2025-10-27 14:00:00,-17.38,3853.91,2069.99583,2717.93417,992.44
2025-10-27 14:05:00,-19.93,3854.02,2047.71808,2721.77192,974.11
2025-10-27 14:10:00,-18.14,3851.52,2073.00153,2669.30847,948.9
2025-10-27 14:15:00,-15.0,3772.48,2069.99767,2655.30233,1014.11
2025-10-27 14:20:00,-18.98,3896.13,2069.99938,2692.98062,923.06
2025-10-27 14:25:00,-17.57,3827.29,2070.00405,2722.33595,1028.8
2025-10-27 14:30:00,-19.93,3748.09,2027.44131,2695.96869,1039.69
2025-10-27 14:35:00,-18.41,3854.68,2069.99604,2703.25396,978.16
2025-10-27 14:40:00,-19.93,3640.73,2031.40974,2556.45026,1007.65
2025-10-27 14:45:00,-19.93,3622.14,2026.37345,2592.25655,1059.92
2025-10-27 14:50:00,-19.93,3634.74,2010.99772,2602.08228,1040.82
2025-10-27 14:55:00,-19.93,3554.98,2010.00386,2474.58614,987.4
2025-10-27 15:00:00,-19.9,3575.93,2049.50025,2633.59975,1179.48
2025-10-27 15:05:00,-19.99,3582.38,2030.00017,2349.76983,851.27
2025-10-27 15:10:00,-19.99,3652.1,2051.529,2377.741,828.05
2025-10-27 15:15:00,-19.93,3718.88,2029.99809,2474.40191,837.54
2025-10-27 15:20:00,-19.93,3681.85,2100.40947,2433.28053,906.38
2025-10-27 15:25:00,-19.9,3845.61,2177.27193,2559.94807,948.68
2025-10-27 15:30:00,-19.93,3919.61,2230.34585,2497.33415,860.38
2025-10-27 15:35:00,-19.93,3855.18,2305.56071,2422.10929,929.81
2025-10-27 15:40:00,-19.93,3852.37,2371.99721,2405.34279,985.14
2025-10-27 15:45:00,-19.93,3852.54,2346.18446,2341.07554,887.57
2025-10-27 15:50:00,-19.93,3929.97,2292.27692,2451.58308,865.87
2025-10-27 15:55:00,-18.59825,4016.68,2333.93691,2529.29309,901.37
2025-10-27 16:00:00,-18.82317,4037.48,2365.71956,2389.78044,764.16
2025-10-27 16:05:00,-15.0,4179.92,2439.74689,2471.66311,775.85
2025-10-27 16:10:00,-13.50028,4235.07,2521.69057,2384.93943,715.91
2025-10-27 16:15:00,-13.58282,4311.16,2582.52673,2455.24327,776.22
2025-10-27 16:20:00,-11.58738,4452.57,2638.62649,2432.69351,664.1
2025-10-27 16:25:00,-11.63682,4492.74,2614.43564,2467.31436,633.19
2025-10-27 16:30:00,-11.4,4409.26,2610.52891,2421.71109,670.37
2025-10-27 16:35:00,-11.4,4496.9,2690.97245,2317.56755,562.97
2025-10-27 16:40:00,-11.4,4533.26,2712.24589,2462.90411,698.23
2025-10-27 16:45:00,-11.83643,4716.1,2762.90251,2372.21749,478.84
2025-10-27 16:50:00,-9.39607,4700.0,2731.74633,2415.87367,508.39
2025-10-27 16:55:00,-6.5,4898.28,2757.06148,2647.20852,570.65
2025-10-27 17:00:00,-6.5,4927.36,2807.87974,2619.42026,569.58
